personId:START_ID(Person-ID),personId:END_ID(Person-ID),:TYPE
b9f282b2-36bb-44cc-8341-29ffe1ae9cb3,1898c681-03af-432c-bafa-8e790ee75f54,follows
b9f282b2-36bb-44cc-8341-29ffe1ae9cb3,9976fd16-c6db-4624-b370-5c71c3bbc36c,follows
b9f282b2-36bb-44cc-8341-29ffe1ae9cb3,ff6ea9e5-9c21-4763-939a-b1c42a57bc5f,follows
b9f282b2-36bb-44cc-8341-29ffe1ae9cb3,f68fc9fe-14b3-42c4-a939-a703fa724028,follows
b9f282b2-36bb-44cc-8341-29ffe1ae9cb3,cff83fa9-64ce-4470-bb92-00971e532d3f,follows
b9f282b2-36bb-44cc-8341-29ffe1ae9cb3,901cf95b-22b3-48a5-9a7b-403dd816f595,follows
b9f282b2-36bb-44cc-8341-29ffe1ae9cb3,f552b076-ab46-4fe4-9911-6fe89dbbe832,follows
b9f282b2-36bb-44cc-8341-29ffe1ae9cb3,d98438f0-96da-437c-8266-0c9915fa672b,follows
4c012a28-0961-4fe8-b116-6c8a99ad55fb,1426d482-9d0d-40c6-ace9-8431d4c5a883,follows
4c012a28-0961-4fe8-b116-6c8a99ad55fb,bd4d655a-14b0-4a70-a19e-36f75bd11639,follows
4c012a28-0961-4fe8-b116-6c8a99ad55fb,136dc1a6-127f-4ab9-acae-a9a9a037e142,follows
4c012a28-0961-4fe8-b116-6c8a99ad55fb,1ae5f314-1234-4126-8ded-80a90e39af49,follows
4c012a28-0961-4fe8-b116-6c8a99ad55fb,8ec4846a-3575-4309-b946-555aaa3fad56,follows
4c012a28-0961-4fe8-b116-6c8a99ad55fb,12172a44-60bb-420f-aad4-8dbfb205c290,follows
4c012a28-0961-4fe8-b116-6c8a99ad55fb,92b25b0f-a1a1-4474-a551-6d0ccc39c045,follows
d0fee310-b71f-4f89-b0bf-352b6825fc4d,0283c061-a372-4262-af24-3ee08a52b900,follows
d0fee310-b71f-4f89-b0bf-352b6825fc4d,dcb8dd02-fe58-4a5d-9b3d-db08966a8e58,follows
d0fee310-b71f-4f89-b0bf-352b6825fc4d,c7a9b6eb-1a40-410c-818f-f721ccc0d8c0,follows
d0fee310-b71f-4f89-b0bf-352b6825fc4d,6bd7b2c7-5d9e-4f6d-ad00-9ad78884c698,follows
e3f6aba4-fb47-470f-84a2-91151506beac,f57f2a4b-e9bf-4564-8d29-6d26b831f42c,follows
e3f6aba4-fb47-470f-84a2-91151506beac,d765fee8-083e-428b-9837-a8d06bf1d0fd,follows
e3f6aba4-fb47-470f-84a2-91151506beac,cb1f10b6-9b00-42dd-80c3-a954908ab17d,follows
e3f6aba4-fb47-470f-84a2-91151506beac,894d19c5-f22a-4cc5-acbe-808cb60ae86d,follows
c9f2415b-549c-43de-a9c5-c7c27b2f34ea,1fc93773-905a-4b4c-9d3f-2a89f3e97834,follows
c9f2415b-549c-43de-a9c5-c7c27b2f34ea,a69ffc5e-f6a3-4898-8c45-089d83657a57,follows
c9f2415b-549c-43de-a9c5-c7c27b2f34ea,06fe3a28-51b3-40eb-a21e-13d13a439557,follows
c9f2415b-549c-43de-a9c5-c7c27b2f34ea,bd619bbe-44ee-48be-a890-32b917fe30f2,follows
c9f2415b-549c-43de-a9c5-c7c27b2f34ea,f8db8589-8365-4cf0-b58a-bac7078df48d,follows
c9f2415b-549c-43de-a9c5-c7c27b2f34ea,4fe415b7-ddac-4465-9f38-56819995a416,follows
c9f2415b-549c-43de-a9c5-c7c27b2f34ea,ec25b328-573d-42fb-b6a1-923ae90df228,follows
c9f2415b-549c-43de-a9c5-c7c27b2f34ea,b75979ed-6bea-4350-8b0f-3a5ee0b49cc8,follows
ef0574fb-a4bc-43ba-9e98-fb3a4cab2ee9,705d5e31-3145-4144-a4b4-60b8652d1fdd,follows
ef0574fb-a4bc-43ba-9e98-fb3a4cab2ee9,476dca60-10ed-4f09-9939-5d4bd55ef5d7,follows
ef0574fb-a4bc-43ba-9e98-fb3a4cab2ee9,df7e5e06-0e4d-44e3-b75b-a89de1ba5a0a,follows
ef0574fb-a4bc-43ba-9e98-fb3a4cab2ee9,274e3d94-4687-4b6a-8921-1459ce4bb48c,follows
ea84625c-af72-46c3-b921-4dfaeb5b89d7,5d379a65-6a01-41ef-81df-dcf55fb5aa27,follows
ea84625c-af72-46c3-b921-4dfaeb5b89d7,bf96bead-b1c0-42db-80da-f9413a9f8988,follows
ea84625c-af72-46c3-b921-4dfaeb5b89d7,40966dda-2506-4f93-8d16-a28615a73c28,follows
ea84625c-af72-46c3-b921-4dfaeb5b89d7,5251ea8c-5b0f-42fa-9320-629d5d0f8174,follows
ea84625c-af72-46c3-b921-4dfaeb5b89d7,ce46b5c9-d693-45bc-8213-4aa984c83e10,follows
ea84625c-af72-46c3-b921-4dfaeb5b89d7,f57f2a4b-e9bf-4564-8d29-6d26b831f42c,follows
ea84625c-af72-46c3-b921-4dfaeb5b89d7,e7a891bd-f8e1-4f71-9bdc-9ac7147cb8c7,follows
901cf95b-22b3-48a5-9a7b-403dd816f595,907ec4bb-4eb9-45c7-a376-58f8b5a56463,follows
901cf95b-22b3-48a5-9a7b-403dd816f595,af44b81b-8e8a-43bb-aee1-952e15373cc4,follows
901cf95b-22b3-48a5-9a7b-403dd816f595,da9e89d7-80c8-4352-b171-3444fd18b430,follows
901cf95b-22b3-48a5-9a7b-403dd816f595,9ea17869-e6b6-468b-83da-6d85865175ae,follows
